what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1390548790386
error,log,,,"error",1390548790390
error,log,,,"Internal Error",1390548790394
error,log,,,"ignored!",1390548790401
error,log,,,"Internal Error",1390548790404
error,log,,,"error",1390548790410
error,log,,,"Internal Error",1390548790413
error,log,,,"ignored!",1390548790419
error,log,,,"Internal Error",1390548790422
error,log,,,"error",1390548790427
error,log,,,"Internal Error",1390548790431
error,log,,,"ignored!",1390548790436
error,log,,,"Internal Error",1390548790440
error,log,,,"error",1390548790445
error,log,,,"Internal Error",1390548790448
error,log,,,"ignored!",1390548790454
error,log,,,"Internal Error",1390548790457
error,log,,,"error",1390548790462
error,log,,,"Internal Error",1390548790465
error,log,,,"ignored!",1390548790471
error,log,,,"Internal Error",1390548790475
error,log,,,"error",1390548790480
error,log,,,"Internal Error",1390548790483
error,log,,,"ignored!",1390548790489
error,log,,,"Internal Error",1390548790493
error,log,,,"error",1390548790499
error,log,,,"Internal Error",1390548790502
error,log,,,"ignored!",1390548790508
error,log,,,"Internal Error",1390548790512
error,log,,,"error",1390548790517
error,log,,,"Internal Error",1390548790520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548790569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548796666
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390548798490
error,log,,,"Plug-in 'org.eclipse.mtj.ui' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.source.menu' is invalid): org.eclipse.mtj.ui.source.localize.string.action",1390548800038
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.freejava.tools.commands.javaSourceAttacherHandlerCommand",1390548801029
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1390548811604
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1390548811664
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390548816021
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1390548816023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1390548816038
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390548817493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548818737
error,log,,,"ignored!",1390548865069
error,log,,,"Internal Error",1390548865079
error,log,,,"error",1390548865091
error,log,,,"Internal Error",1390548865095
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1390548907410
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548915055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548915137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548916048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548928701
error,log,,,"Plug-in 'org.eclipse.mtj.ui' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.source.menu' is invalid): org.eclipse.mtj.ui.source.localize.string.action",1390548931659
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548936800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548961194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1390548961206
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390548961909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549022971
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390549024336
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549027293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549118167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549119434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549120756
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390549122023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549125066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549129869
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1390549129876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549136228
started,bundle,org.eclipse.mtj.ui,1.2.0.v201009031435,"org.eclipse.mtj.ui",1390549170496
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1390549192670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549195290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1390549195304
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390549197058
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1390549198239
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1390549198380
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1390549198423
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390549209669
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.ClassFileEditor",1390549209669
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390549210795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549213022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549451075
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1390549451092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549451446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390549628582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1390549630597
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390549633459
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1390549634019
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.TypeHierarchy",1390549634041
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy",1390549634086
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390549637360
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1390549640197
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1390549640240
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390549641025
closed,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1390549641038
